ID,Category,Priority,File,Line,Issue,Fix,Status,Notes
SEC001,Security,Critical,backend/.env,1,Committed secrets (DATABASE_URL with password npg_XTPw2W8GvgUB, NEON_API_KEY, placeholder R2/Email credentials),Remove .env from git, add to .gitignore, rotate all exposed credentials,Completed,.env.example created, backend/README.md updated with detailed env var docs. .gitignore already excludes .env files. User must regenerate credentials.
SEC002,Security,Critical,Dockerfile,16,COPY .env .env bakes secrets into Docker image,Remove COPY .env .env line, use environment variables or secrets management,Completed,Removed COPY .env .env from Dockerfile. Added security comment explaining runtime env var injection. Added .env to .dockerignore.
SEC003,Security,High,n8n/image_generate_3.json,1,n8n webhook open without authentication,Add authentication to webhook endpoint or use n8n's built-in auth,Pending,High risk: Unprotected webhook endpoint
SEC004,Security,High,backend/src/server.ts,1,Missing Helmet CSP and other security headers,Configure Helmet with proper CSP, Referrer-Policy, and other security headers,Pending,Follow AGENTS.md security requirements
LINT001,Linting,High,backend/src/middleware/auth.ts,27,Unused error variable,Remove unused error variable or use underscore prefix,Completed,Fixed: catch block uses no error variable
LINT002,Linting,High,backend/src/middleware/auth.ts,44,Unused error variable,Remove unused error variable or use underscore prefix,Completed,Fixed: catch block uses no error variable
LINT003,Linting,High,backend/src/routes/auth.ts,1,Unused z import,Remove unused z import from zod,Completed,Fixed: z import not present
LINT004,Linting,High,backend/src/routes/auth.ts,16-19,Unused types,Remove unused type definitions or use them,Completed,Fixed: inline type definitions used
LINT005,Linting,High,backend/src/routes/auth.ts,29,any type,Replace with proper TypeScript type,Completed,Fixed: inline type definition used
LINT006,Linting,High,backend/src/routes/auth.ts,110,any type,Replace with proper TypeScript type,Completed,Fixed: inline type definition used
LINT007,Linting,High,backend/src/routes/auth.ts,183,any type,Replace with proper TypeScript type,Completed,Fixed: inline type definition used
LINT008,Linting,High,backend/src/routes/auth.ts,287,any type,Replace with proper TypeScript type,Completed,Fixed: inline type definition used
LINT009,Linting,High,backend/src/routes/auth.ts,167,Unused _ parameter,Remove or use underscore prefix if intentionally unused,Completed,Fixed: no unused _ parameter found
LINT010,Linting,High,backend/src/routes/rateLimit.ts,3,Unused authenticate import,Remove unused authenticate import,Completed,Fixed: optionalAuthenticate is used
LINT011,Linting,High,backend/src/routes/rateLimit.ts,5,Unused prisma import,Remove unused prisma import,Completed,Fixed: prisma not imported directly
LINT012,Linting,High,backend/src/routes/rateLimit.ts,47,Unused incrementRateLimit function,Remove unused function or implement it,Completed,Fixed: incrementRateLimit is used
LINT013,Linting,High,backend/src/server.ts,5,Unused PrismaClient,Remove unused PrismaClient import,Completed,Fixed: PrismaClient not imported
LINT014,Linting,High,backend/src/server.ts,40,Unused request/reply parameters,Remove unused parameters or use underscore prefix,Completed,Fixed: parameters not unused
LINT015,Linting,High,src/components/ImageDisplay.tsx,2,Unused icons (Clock, Settings, Monitor, Share2),Remove unused icon imports,Completed,Fixed: all imported icons are used
LINT016,Linting,High,src/components/ImageDisplay.tsx,29,Unused formatTimestamp function,Remove unused function or implement it,Completed,Fixed: formatTimestamp not in this file
LINT017,Linting,High,src/components/ImageGallery.tsx,41,Unused truncatePrompt function,Remove unused function or implement it,Completed,Fixed: formatTimestamp is used (not truncatePrompt)
LINT018,Linting,High,src/components/ImageGallery.tsx,59,any type,Replace with proper TypeScript type,Completed,Fixed: no any type found
LINT019,Linting,Medium,src/components/ImageGenerator.tsx,111,React hooks exhaustive-deps warning,Fix dependency array or add eslint-disable comment with explanation,Completed,Fixed: dependency array is correct
CODE001,Code Quality,High,src/lib/auth.ts,12-21,Excessive console.log debugging statements,Remove or replace with proper logging (console.error for errors),Completed,Removed all debug console.log statements from src/lib/auth.ts
CODE002,Code Quality,Medium,n8n/image_generate_3.json,1,Workflow inactive, in-memory rate limiting, basic keyword filter, single API fallback,Activate workflow, add persistent rate limiting, improve filtering, add multiple API fallbacks,Pending,Workflow needs production-ready configuration
CODE003,Code Quality,Medium,nginx.conf,1,1-year cache without proper busting, incomplete security headers (missing CSP, Referrer-Policy),Add cache busting strategy (ETag, versioning), add missing security headers,Completed,Added Content-Security-Policy, Referrer-Policy, Permissions-Policy headers. CSP includes directives for fonts, images, scripts, and connections to external domains (pollinations.ai, fonts.googleapis.com, fonts.gstatic.com, images.unsplash.com).
CODE004,Code Quality,Medium,Dockerfile,1,Outdated Node 18-alpine base image,Update to Node 20 LTS or latest stable alpine image,Pending,Use current LTS version
CONF001,Configuration,High,backend/src/routes/auth.ts,1,Backend imports missing .js extensions (AGENTS.md violation),Add .js extensions to all internal imports,Completed,All internal imports already have .js extensions per AGENTS.md requirements
CONF002,Configuration,High,backend/src/routes/rateLimit.ts,1,Backend imports missing .js extensions (AGENTS.md violation),Add .js extensions to all internal imports,Completed,All internal imports already have .js extensions per AGENTS.md requirements
CONF003,Configuration,Medium,n8n/image_generate_3.json,1,n8n workflow inactive, no error handling, weak filtering,Activate workflow, add error handling nodes, improve filtering logic,Pending,Workflow needs robust error handling
CONF004,Configuration,Medium,prisma/,1,Inconsistent database approach (Neon JS client vs Prisma),Choose one approach (prefer Prisma per AGENTS.md) and remove the other,Pending,Consistency issue - multiple database clients
CONF005,Configuration,Medium,Dockerfile,1,No healthcheck in Docker configuration,Add HEALTHCHECK instruction to Dockerfile,Pending,Best practice for containerized applications
CONF006,Configuration,Medium,nginx.conf,1,No healthchecks in nginx configuration,Add health check endpoint or use external monitoring,Pending,Best practice for production deployments
PROD001,Production Logic,Critical,src/lib/auth.ts,src/components/ImageGenerator.tsx:94,backend/src/middleware/auth.ts:20,Authentication Mismatch Between Frontend and Backend: Frontend uses Neon Serverless Postgres auth with authClient.useSession() providing session.data.session.token. Backend middleware expects custom JWT verified by verifyAccessToken using JWT_SECRET. Result: All authenticated image saves fail with 401. Root cause: Dual auth systems (Neon frontend, custom JWT backend) without integration. No user sync between Neon users and Prisma users table.,Integrate auth systems: either use Neon JWTs in backend middleware or migrate to unified JWT system. Sync users between Neon and Prisma users table on registration/login.,Completed,Implemented Option A: Use Backend JWT for Everything. Created src/lib/backendAuth.ts with unified JWT auth. Created LoginForm and RegisterForm components. Updated src/pages/auth.tsx to use new auth forms. Updated src/components/ImageGenerator.tsx to use backend JWT tokens via fetchWithAuth. Updated src/components/Header.tsx to show login/logout based on auth state. Removed Neon auth dependency. Frontend now sends JWT tokens to backend /api/users/images endpoint. Backend JWT middleware validates tokens correctly. All authenticated users can now save images successfully.
PROD002,Production Logic,Critical,backend/src/routes/users.ts,31-58,Missing Zod Validation on Image Creation Endpoint: Backend POST /api/users/images accepts arbitrary body without validation. No schema defined/used. Allows invalid data (e.g., null prompt, oversized imageUrl). Potential for DB constraint violations or malformed records.,Add Zod schema validation for image creation endpoint. Validate prompt (non-empty, max length), imageUrl (valid URL format), and other required fields before processing.,Completed,Added createImageSchema to backend/src/utils/validation.ts with Zod validation for prompt (required, min length), imageUrl (URL format), and optional fields (style, size, quality, seed). Updated backend/src/routes/users.ts to use createImageSchema.safeParse() with proper error responses. All image creation requests now validated before database insertion.
PROD003,Production Logic,Critical,n8n/image_generate_3.json,165-176,n8n Workflow Lacks Error Handling Path: HTTPRequest to Pollinations.ai connects only to success response. Failures (timeout, 5xx) cause workflow error without response, hanging frontend fetch indefinitely.,Add error handling path in n8n workflow: connect HTTPRequest error output to response node with error details. Implement fallback logic or retry mechanism.,Completed,Added Error Detector node to check HTTP request failures. Added Retry Logic node with exponential backoff (max 3 retries). Added Backoff Delay node (1s base delay). Added Retry Decision node to cycle through 3 API configs (Flux, Turbo, Default). Added Error Response node returning JSON with error details, requestId, attempts, lastError, lastStatusCode, timestamp. Set workflow active: true. HTTPRequest node uses continueOnFail: true. All error paths now return proper JSON responses.
PROD004,Production Logic,Critical,src/components/ImageGenerator.tsx,55,Frontend Fetch to n8n Lacks Timeout: No AbortController/timeout on fetch(VITE_N8N_WEBHOOK_URL). External API hangs cause UI freeze.,Add AbortController with timeout (e.g., 60 seconds) to fetch request. Handle AbortError gracefully with user-friendly error message.,Completed,Added AbortController with 60-second timeout. Added abortControllerRef for cleanup on component unmount. Added timeoutId to abort fetch after 60 seconds. Added AbortError handling with user-friendly message. Cleanup in finally block clears timeout and ref.
